"Movie_Name","Movie_Original_Name","Movie_Original_Name_url","Movie_Cast","Movie_Score","Movie_Slogan","Movie_Comments"
"辩护人","/ 변호인","https://movie.douban.com/subject/21937445/","导演: 杨宇硕 Woo-seok Yang 主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...
2013 / 韩国 / 剧情","9.2","电影的现实意义大过电影本身。","271453人评价"
"死亡诗社","/ Dead Poets Society","https://movie.douban.com/subject/1291548/","导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
1989 / 美国 / 剧情","9.0","当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。","339554人评价"
"V字仇杀队","/ V for Vendetta","https://movie.douban.com/subject/1309046/","导演: 詹姆斯·麦克特格 James McTeigue 主演: 娜塔莉·波特曼 Natalie Por...
2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚","8.8","一张面具背后的理想与革命。","512294人评价"
"海豚湾","/ The Cove","https://movie.douban.com/subject/3442220/","导演: Louie Psihoyos 主演: John Chisholm / Mandy-Rae Cruikshank / Char...
2009 / 美国 / 纪录片","9.3","海豚的微笑，是世界上最高明的伪装。","210873人评价"
"教父2","/ The Godfather: Part Ⅱ","https://movie.douban.com/subject/1299131/","导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...
1974 / 美国 / 剧情 犯罪","9.1","优雅的孤独。","229979人评价"
"肖申克的救赎","/ The Shawshank Redemption","https://movie.douban.com/subject/1292052/","导演: 弗兰克·德拉邦特 Frank Darabont 主演: 蒂姆·罗宾斯 Tim Robbins /...
1994 / 美国 / 犯罪 剧情","9.6","希望让人自由。","1161798人评价"
"霸王别姬","","","导演: 陈凯歌 Kaige Chen 主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
1993 / 中国大陆 香港 / 剧情 爱情 同性","9.6","风华绝代。","849059人评价"
"这个杀手不太冷","/ Léon","https://movie.douban.com/subject/1295644/","导演: 吕克·贝松 Luc Besson 主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
1994 / 法国 / 剧情 动作 犯罪","9.4","怪蜀黍和小萝莉不得不说的故事。","1072106人评价"
"阿甘正传","/ Forrest Gump","https://movie.douban.com/subject/1292720/","导演: Robert Zemeckis 主演: Tom Hanks / Robin Wright Penn / Gary Sinise
1994 / 美国 / 剧情 爱情","9.4","一部美国近现代史。","916813人评价"
"美丽人生","/ La vita è bella","https://movie.douban.com/subject/1292063/","导演: 罗伯托·贝尼尼 Roberto Benigni 主演: 罗伯托·贝尼尼 Roberto Beni...
1997 / 意大利 / 剧情 喜剧 爱情 战争","9.5","最美的谎言。","535077人评价"
